"GOOGLE MERCHANT CENTER — BỘ CHECKLIST KIỂM TRA WEBSITE TOÀN DIỆN BY ĐỨC LÊ Bộ checklist toàn diện kết hợp chính sách chính thức của Google + thực tiễn tốt nhất trong ngành  |  Phiên bản 1.0  |  Cập nhật: Tháng 3/2026    Website cần kiểm tra: #   1. Kiểm Tra Kỹ Thuật & Bảo Mật","Phần ","Tiêu Chí Kiểm Tra ","Mức Độ ","   Ngày kiểm tra: Trạng Thái ","Hướng Dẫn / Giải Thích ","Công Cụ Kiểm Tra ","Ghi Chú "
"104","Giá Cả & Khuyến Mãi","Không có giá gốc giả (giá 'cũ' bị thổi phồng)","🔴 BẮT BUỘC","⬜ Chưa Kiểm Tra","Nếu TẤT CẢ sản phẩm đều hiển thị cùng % giảm giá, đây là dấu hiệu cảnh báo về giá giả.","",""
"105","Giá Cả & Khuyến Mãi","Giá trên website khớp với giá trong product feed","🔴 BẮT BUỘC","⬜ Chưa Kiểm Tra","Giá hiển thị trên trang sản phẩm phải khớp chính xác với giá trong GMC product feed, bao gồm đơn vị tiền tệ.","",""
"106","Giá Cả & Khuyến Mãi","Không có khuyến mãi hết hạn vẫn hiển thị trên website","🔴 BẮT BUỘC","⬜ Chưa Kiểm Tra","Xóa tất cả banner sale hết hạn, ưu đãi Black Friday, khuyến mãi ngày lễ, v.v.","",""
"107","Giá Cả & Khuyến Mãi","Điều kiện miễn phí vận chuyển nhất quán trên tất cả các trang","🔴 BẮT BUỘC","⬜ Chưa Kiểm Tra","Nếu bạn cung cấp miễn phí vận chuyển trên X, điều này phải được nêu nhất quán trên trang sản phẩm, chính sách vận chuyển và footer.","",""
"108","Giá Cả & Khuyến Mãi","Không có phí ẩn khi thanh toán","🔴 BẮT BUỘC","⬜ Chưa Kiểm Tra","Giá cuối cùng khi thanh toán không được cao hơn đáng kể so với giá sản phẩm đã hiển thị.","",""
"109","Giá Cả & Khuyến Mãi","Đơn vị tiền tệ đúng cho quốc gia mục tiêu","🟡 CẢNH BÁO","⬜ Chưa Kiểm Tra","Nếu nhắm đến UK, dùng GBP (£). Nếu nhắm đến US, dùng USD ($). Phải khớp với cài đặt GMC.","",""
"110","Cài Đặt Google Merchant Center","Tên miền đã được xác nhận","🔴 BẮT BUỘC","⬜ Chưa Kiểm Tra","Tên miền website phải được xác nhận trong Merchant Center.","",""
"111","Cài Đặt Google Merchant Center","Thông tin doanh nghiệp trong GMC khớp chính xác với website","🔴 BẮT BUỘC","⬜ Chưa Kiểm Tra","Tên doanh nghiệp, địa chỉ, điện thoại, email trong GMC phải hoàn toàn giống với website.","",""
"112","Cài Đặt Google Merchant Center","Cài đặt vận chuyển trong GMC khớp với Chính sách Vận chuyển","🔴 BẮT BUỘC","⬜ Chưa Kiểm Tra","Phí vận chuyển và thời gian giao hàng trong GMC phải khớp với những gì nêu trên website.","",""
"113","Cài Đặt Google Merchant Center","Cài đặt chính sách đổi trả trong GMC khớp với trang Chính sách Đổi trả","🔴 BẮT BUỘC","⬜ Chưa Kiểm Tra","Thời hạn đổi trả và điều kiện trong GMC phải khớp với Chính sách Đổi trả trên website.","",""
"114","Cài Đặt Google Merchant Center","Tài khoản Google Ads được liên kết với phương thức thanh toán hợp lệ","🔴 BẮT BUỘC","⬜ Chưa Kiểm Tra","Tài khoản Google Ads phải được liên kết với GMC và có phương thức thanh toán hợp lệ.","",""
"115","Cài Đặt Google Merchant Center","Danh mục sản phẩm trong feed (google_product_category) chính xác","🔴 BẮT BUỘC","⬜ Chưa Kiểm Tra","Sản phẩm phải ở đúng danh mục phân loại của Google. Sai danh mục = Trình bày sai.","https://support.google.com/merchants/answer/6324436",""
"116","Cài Đặt Google Merchant Center","Giá trong product feed khớp với giá trên website","🔴 BẮT BUỘC","⬜ Chưa Kiểm Tra","Giá trong feed phải khớp chính xác với giá trên trang đích, bao gồm đơn vị tiền tệ.","",""
"117","Cài Đặt Google Merchant Center","Hình ảnh trong product feed chất lượng cao và khớp với website","🟡 CẢNH BÁO","⬜ Chưa Kiểm Tra","image_link trong feed phải trỏ đến cùng hình ảnh chất lượng cao hiển thị trên trang sản phẩm.","",""
"118","Cài Đặt Google Merchant Center","Không có sản phẩm bị từ chối trong feed (kiểm tra Diagnostics)","🟡 CẢNH BÁO","⬜ Chưa Kiểm Tra","Thường xuyên kiểm tra Diagnostics trong Merchant Center để tìm sản phẩm bị từ chối và sửa chúng.","",""
"119","Cài Đặt Google Merchant Center","Định danh sản phẩm (GTIN, MPN, thương hiệu) chính xác","🟡 CẢNH BÁO","⬜ Chưa Kiểm Tra","Nếu sản phẩm có GTIN/mã vạch, hãy bao gồm chúng. Đặt identifier_exists đúng.","",""
"120","Độ Tin Cậy & Bằng Chứng Xã Hội","Không có yếu tố tin cậy giả (đánh giá giả, logo báo chí giả, huy hiệu giả)","🔴 BẮT BUỘC","⬜ Chưa Kiểm Tra","Tất cả yếu tố tin cậy phải thực. Logo 'Được đăng trên CNN/Forbes' giả hoặc đánh giá bịa đặt = bị tạm ngưng ngay.","",""
"121","Độ Tin Cậy & Bằng Chứng Xã Hội","Trustpilot hoặc nền tảng đánh giá được liên kết (nếu có)","🔵 KHUYẾN NGHỊ","⬜ Chưa Kiểm Tra","Liên kết đến nền tảng đánh giá bên thứ ba thực để tăng độ tin cậy.","",""
"122","Độ Tin Cậy & Bằng Chứng Xã Hội","Hồ sơ mạng xã hội hoạt động và được liên kết","🔵 KHUYẾN NGHỊ","⬜ Chưa Kiểm Tra","Hồ sơ mạng xã hội hoạt động (Instagram, Facebook, v.v.) tăng tín hiệu tin cậy.","",""
"123","Độ Tin Cậy & Bằng Chứng Xã Hội","Không có tuyên bố hứa hẹn quá mức ở bất kỳ đâu trên website","🔴 BẮT BUỘC","⬜ Chưa Kiểm Tra","Tránh các tuyên bố như 'kết quả được đảm bảo', '#1 thế giới', hoặc các tính từ vô căn cứ.","",""
"124","Nội Dung & Ngôn Ngữ","Không có nội dung sao chép từ website khác mà không chỉnh sửa","🔴 BẮT BUỘC","⬜ Chưa Kiểm Tra","Tất cả nội dung phải là bản gốc. Nội dung copy-paste từ cửa hàng khác (đặc biệt với tên thương hiệu sai) = Trình bày sai.","",""
"125","Nội Dung & Ngôn Ngữ","Ngôn ngữ nhất quán trên tất cả các trang","🟡 CẢNH BÁO","⬜ Chưa Kiểm Tra","Tất cả các trang nên dùng cùng một ngôn ngữ. Ngôn ngữ hỗn hợp làm giảm độ tin cậy.","",""
"126","Nội Dung & Ngôn Ngữ","Không có lỗi chính tả hoặc ngữ pháp đáng kể","🟡 CẢNH BÁO","⬜ Chưa Kiểm Tra","Chất lượng ngôn ngữ kém làm giảm độ tin cậy và có thể cho thấy website chất lượng thấp hoặc lừa đảo.","",""
"127","Nội Dung & Ngôn Ngữ","Mô tả sản phẩm không gây hiểu nhầm hoặc phóng đại","🔴 BẮT BUỘC","⬜ Chưa Kiểm Tra","Không tuyên bố các tính năng mà sản phẩm không có. 'Được cấp phép chính thức' cần có bằng chứng.","",""
"128","Nội Dung & Ngôn Ngữ","Địa chỉ email được định dạng đúng (không có dấu chấm thừa)","🟡 CẢNH BÁO","⬜ Chưa Kiểm Tra","Đảm bảo địa chỉ email không có dấu chấm thừa (vd: support@store.com. là sai).","",""
"129","Nội Dung & Ngôn Ngữ","Trang liên hệ được liên kết trên tất cả các trang chính sách","🔵 KHUYẾN NGHỊ","⬜ Chưa Kiểm Tra","Mỗi trang chính sách nên có liên kết đến trang Liên hệ để giải đáp thắc mắc.","",""
"130","Thông Tin Cần Điền — Doanh Nghiệp","Tên pháp lý doanh nghiệp","📝 ĐIỀN VÀO","","Tên doanh nghiệp đã đăng ký (LLC, Ltd, Inc, v.v.)","",""
"131","Thông Tin Cần Điền — Doanh Nghiệp","Tên thương hiệu / Tên giao dịch","📝 ĐIỀN VÀO","","Tên thương hiệu hiển thị trên website của bạn","",""
"132","Thông Tin Cần Điền — Doanh Nghiệp","Email doanh nghiệp","📝 ĐIỀN VÀO","","Phải là email tên miền doanh nghiệp (vd: support@cửahàng.com)","",""
"133","Thông Tin Cần Điền — Doanh Nghiệp","Số điện thoại doanh nghiệp","📝 ĐIỀN VÀO","","Bao gồm mã quốc gia nếu là quốc tế","",""
"134","Thông Tin Cần Điền — Doanh Nghiệp","Địa chỉ doanh nghiệp","📝 ĐIỀN VÀO","","Định dạng: [Số nhà + Tên đường], [Thành phố], [Tỉnh/Bang], [Mã bưu chính], [Quốc gia]","",""
"135","Thông Tin Cần Điền — Doanh Nghiệp","Thời gian xử lý / chuẩn bị đơn hàng","📝 ĐIỀN VÀO","","Mất bao lâu để chuẩn bị đơn hàng (vd: 3-5 ngày làm việc)","",""
"136","Thông Tin Cần Điền — Doanh Nghiệp","Thời gian giao hàng nội địa","📝 ĐIỀN VÀO","","Thời gian giao hàng cho đơn nội địa (vd: 5-10 ngày làm việc)","",""
"137","Thông Tin Cần Điền — Doanh Nghiệp","Thời gian giao hàng quốc tế","📝 ĐIỀN VÀO","","Thời gian giao hàng cho đơn quốc tế (vd: 10-20 ngày làm việc)","",""
"138","Thông Tin Cần Điền — Doanh Nghiệp","Thời hạn đổi trả","📝 ĐIỀN VÀO","","Khách hàng có bao nhiêu ngày để yêu cầu đổi trả (vd: 30 ngày)","",""
"139","Thông Tin Cần Điền — Doanh Nghiệp","Thời gian xử lý hoàn tiền","📝 ĐIỀN VÀO","","Mất bao lâu để xử lý hoàn tiền sau khi nhận hàng trả về (vd: 5-10 ngày làm việc)","",""
"140","Thông Tin Cần Điền — Doanh Nghiệp","Các phương thức thanh toán được chấp nhận","📝 ĐIỀN VÀO","","Liệt kê tất cả: vd: Visa, Mastercard, Amex, PayPal, Apple Pay, Klarna","",""
"141","Thông Tin Cần Điền — Doanh Nghiệp","Giờ làm việc bộ phận hỗ trợ khách hàng","📝 ĐIỀN VÀO","","vd: Thứ Hai đến Thứ Sáu, 9:00 SA - 5:00 CH (GMT+7)","",""
"142","Thông Tin Cần Điền — Doanh Nghiệp","Ngưỡng miễn phí vận chuyển","📝 ĐIỀN VÀO","","vd: Miễn phí vận chuyển cho đơn hàng trên 99$ (hoặc 'Không có' nếu không có miễn phí)","",""
